expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/23/2015,555.0,Call,GOOG  150123C00555000,4.600,4.10,5.10,-0.55,-10.6796,0,32,4.6000,0.2708,26.1834,0.2288,0.0085,-0.2361,-0.0358,0.4001,0.0730
01/23/2015,555.0,Put,GOOG  150123P00555000,32.150,31.00,33.30,3.10,10.6713,0,20,32.1500,0.2449,26.1834,-0.7967,0.0088,-0.1977,-0.0444,0.3773,-0.2186
01/23/2015,557.5,Call,GOOG  150123C00557500,4.050,3.60,4.50,-0.50,-10.989,2,54,4.0500,0.2695,26.0705,0.2081,0.0081,-0.2224,-0.0362,0.3788,0.0665
01/23/2015,557.5,Put,GOOG  150123P00557500,34.850,33.50,36.20,3.70,11.878,0,1,34.8500,0.2627,26.0705,-0.7989,0.0081,-0.2108,-0.0386,0.3781,-0.2207
01/23/2015,560.0,Call,GOOG  150123C00560000,3.650,3.20,4.10,-0.40,-9.8765,92,114,3.6500,0.2709,25.9671,0.1910,0.0076,-0.2123,-0.0358,0.3597,0.0610
01/23/2015,560.0,Put,GOOG  150123P00560000,36.200,35.00,37.40,3.20,9.697,0,0,36.2000,0.2417,25.9671,-0.8391,0.0077,-0.1683,-0.0457,0.3301,-0.2203
01/23/2015,562.5,Call,GOOG  150123C00562500,3.150,2.80,3.50,-0.40,-11.2676,2,36,3.1500,0.2683,25.8733,0.1711,0.0072,-0.1963,-0.0365,0.3358,0.0548
01/23/2015,562.5,Put,GOOG  150123P00562500,38.250,37.00,39.50,3.25,9.2857,0,0,38.2500,0.2385,25.8733,-0.8601,0.0071,-0.1511,-0.0470,0.3116,-0.2193
01/23/2015,565.0,Call,GOOG  150123C00565000,2.775,2.45,3.10,-0.38,-11.9048,0,18,2.7750,0.268,25.789,0.1547,0.0067,-0.1836,-0.0366,0.3145,0.0496
01/23/2015,565.0,Put,GOOG  150123P00565000,40.700,39.70,41.70,3.40,9.1153,0,0,40.7000,0.2472,25.789,-0.8667,0.0066,-0.1514,-0.0438,0.2886,-0.2205
01/23/2015,567.5,Call,GOOG  150123C00567500,2.400,2.15,2.65,-0.35,-12.7273,0,12,2.4000,0.2665,25.7143,0.1381,0.0063,-0.1692,-0.0370,0.2914,0.0443
01/23/2015,567.5,Put,GOOG  150123P00567500,42.750,41.60,43.90,3.45,8.7786,0,0,42.7500,0.2408,25.7143,-0.8880,0.0060,-0.1302,-0.0463,0.2536,-0.2171
01/23/2015,570.0,Call,GOOG  150123C00570000,2.100,1.90,2.30,-0.33,-13.4021,7,28,2.1000,0.2663,25.649,0.1239,0.0058,-0.1568,-0.0371,0.2704,0.0398
01/23/2015,570.0,Put,GOOG  150123P00570000,45.000,43.90,46.10,3.55,8.5645,0,0,45.0000,0.2405,25.649,-0.9018,0.0055,-0.1181,-0.0465,0.2435,-0.2135
01/23/2015,575.0,Call,GOOG  150123C00575000,1.650,1.45,1.85,-0.22,-12,0,64,1.6500,0.2682,25.5466,0.1009,0.0050,-0.1364,-0.0366,0.2334,0.0324
