expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
03/20/2015,2.5,Call,ZNGA  150320C00002500,0.400,0.38,0.42,-0.05,-11.1111,80,5066,0.4000,0.6562,64.4356,0.6397,0.4610,-0.0019,-238.4723,0.0046,0.0028
03/20/2015,2.5,Put,ZNGA  150320P00002500,0.240,0.23,0.25,0.02,9.0909,12,2075,0.2400,0.6589,64.4356,-0.3604,0.4615,-0.0019,-238.6411,0.0046,-0.0023
03/20/2015,3.0,Call,ZNGA  150320C00003000,0.205,0.19,0.22,-0.03,-12.766,10,6210,0.2050,0.6671,64.4356,0.4087,0.4707,-0.0020,-231.1817,0.0048,0.0019
03/20/2015,3.0,Put,ZNGA  150320P00003000,0.525,0.49,0.56,0.02,5,65,3353,0.5250,0.6281,64.4356,-0.6045,0.4983,-0.0019,-263.5050,0.0047,-0.0038
03/20/2015,3.5,Call,ZNGA  150320C00003500,0.115,0.11,0.12,0.00,4.5455,0,7038,0.1150,0.7125,64.4356,0.2544,0.3638,-0.0018,-202.7809,0.0040,0.0012
03/20/2015,3.5,Put,ZNGA  150320P00003500,0.920,0.87,0.97,0.03,3.3708,0,353,0.9200,0.624,64.4356,-0.7885,0.3770,-0.0014,-268.6928,0.0036,-0.0048
06/19/2015,1.5,Call,ZNGA  150619C00001500,1.225,1.10,1.35,0.01,0.8231,0,103,1.2326,0.766,62.3764,0.9132,0.1137,-0.0007,-172.8435,0.0029,0.0056
06/19/2015,1.5,Put,ZNGA  150619P00001500,0.080,0.02,0.14,0.08,0,0,50,0.0701,0.766,62.3764,-0.0868,0.1137,-0.0006,-176.6009,0.0029,-0.0014
06/19/2015,2.0,Call,ZNGA  150619C00002000,0.880,0.81,0.95,-0.02,-2.7624,0,76,0.8800,0.766,62.3764,0.7911,0.2067,-0.0012,-174.1213,0.0052,0.0057
06/19/2015,2.0,Put,ZNGA  150619P00002000,0.140,0.08,0.20,0.04,33.3333,0,6,0.2172,0.766,62.3764,-0.2089,0.2075,-0.0012,-176.9258,0.0052,-0.0033
06/19/2015,2.5,Call,ZNGA  150619C00002500,0.585,0.52,0.65,-0.01,-1.6807,0,1184,0.5850,0.7179,62.3764,0.6461,0.2854,-0.0014,-198.7249,0.0068,0.0053
06/19/2015,2.5,Put,ZNGA  150619P00002500,0.345,0.31,0.38,-0.01,-2.8169,12,179,0.3450,0.6048,62.3764,-0.3594,0.3422,-0.0012,-284.9650,0.0068,-0.0053
06/19/2015,3.0,Call,ZNGA  150619C00003000,0.335,0.32,0.35,-0.03,-8.2192,173,458,0.3350,0.6347,62.3764,0.4771,0.3457,-0.0014,-254.3804,0.0072,0.0044
06/19/2015,3.0,Put,ZNGA  150619P00003000,0.635,0.59,0.68,0.04,7.6271,0,80,0.6350,0.5855,62.3764,-0.5395,0.3761,-0.0012,-305.8040,0.0073,-0.0079
