expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
02/06/2015,12.0,Call,BBRY  150206C00012000,0.295,0.24,0.35,0.01,3.5088,0,5,0.2950,0.4718,48.0128,0.3032,0.2118,-0.0078,-27.1532,0.0122,0.0031
02/06/2015,12.0,Put,BBRY  150206P00012000,1.330,1.26,1.40,0.00,0.3773,0,0,1.3300,0.4853,48.0128,-0.6906,0.2087,-0.0081,-25.8525,0.0125,-0.0075
02/13/2015,10.0,Call,BBRY  150213C00010000,1.280,1.18,1.38,N/A,N/A,0,0,1.2800,0.468,47.8984,0.7447,0.1801,-0.0066,-27.4866,0.0122,0.0083
02/13/2015,10.0,Put,BBRY  150213P00010000,0.320,0.28,0.36,N/A,N/A,12,0,0.3200,0.4857,47.8984,-0.2609,0.1762,-0.0068,-25.7311,0.0124,-0.0035
02/13/2015,10.5,Call,BBRY  150213C00010500,0.975,0.90,1.05,N/A,N/A,0,0,0.9750,0.4764,47.0628,0.6385,0.2063,-0.0078,-26.5650,0.0143,0.0073
02/13/2015,10.5,Put,BBRY  150213P00010500,0.500,0.45,0.55,N/A,N/A,0,0,0.5000,0.4811,47.0628,-0.3622,0.2052,-0.0078,-26.2397,0.0144,-0.0049
02/13/2015,11.0,Call,BBRY  150213C00011000,0.690,0.66,0.72,N/A,N/A,0,0,0.6900,0.4595,46.6232,0.5278,0.2272,-0.0079,-28.5794,0.0152,0.0062
02/13/2015,11.0,Put,BBRY  150213P00011000,0.700,0.67,0.73,N/A,N/A,1,0,0.7000,0.4543,46.6232,-0.4727,0.2309,-0.0078,-29.4543,0.0152,-0.0063
02/13/2015,11.5,Call,BBRY  150213C00011500,0.475,0.44,0.51,N/A,N/A,0,0,0.4750,0.4525,46.5383,0.4151,0.2260,-0.0077,-29.4836,0.0149,0.0049
02/13/2015,11.5,Put,BBRY  150213P00011500,1.025,0.96,1.09,N/A,N/A,0,0,1.0250,0.474,46.5383,-0.5785,0.2175,-0.0080,-27.0806,0.0151,-0.0076
